Fiscal Year,Agency Budget Code,Agency Acronym,Agency Full Name ,Measure Name,Data Type (Formula),Measure Type,Directionality,Frequency,YE Target,Q1 Actual,Q2 Actual,Q3 Actual,Q4 Actual,YE Actual,YE Rating (%),Rating,Budget Program
2008,FX0,OCME,"Chief Medical Examiner, Office of the",% of CFRC fatality reviews held within six months of notification of death,Percentage,Output,Up is Better,Quarterly,90,,,,,N/A,No Data,Not Rated Insufficient Data,DEATH INVESTIGATIONS/ CERTIFICATIONS
2008,FX0,OCME,"Chief Medical Examiner, Office of the",% of MRDD fatality reviews held within 3 months of receipt of the investigative report from DHS/DDS and determination of the cause and manner of death,Percentage,Output,Up is Better,Quarterly,90,,,,,N/A,No Data,Not Rated Insufficient Data,DEATH INVESTIGATIONS/ CERTIFICATIONS
2008,FX0,OCME,"Chief Medical Examiner, Office of the",% of autopsy reports on homicide cases completed within 60 days,Percentage,Output,Up is Better,Quarterly,90,,,,,N/A,No Data,Not Rated Insufficient Data,DEATH INVESTIGATIONS/ CERTIFICATIONS
2008,FX0,OCME,"Chief Medical Examiner, Office of the",% of autopsy reports on non-homicide cases completed within 90 days,Percentage,Output,Up is Better,Quarterly,85,,,,,N/A,No Data,Not Rated Insufficient Data,DEATH INVESTIGATIONS/ CERTIFICATIONS
2008,FX0,OCME,"Chief Medical Examiner, Office of the",% of mortuary scene response wtihin one hour of notification that case has been accepted for OCME jurisdiction by an investigator or medical examiner,Percentage,Output,Up is Better,Quarterly,85,,,,,N/A,No Data,Not Rated Insufficient Data,DEATH INVESTIGATIONS/ CERTIFICATIONS
2008,FX0,OCME,"Chief Medical Examiner, Office of the",% of negative toxicology examinations completed within 30 days of case submission,Percentage,Output,Up is Better,Quarterly,95,,,,,N/A,No Data,Not Rated Insufficient Data,DEATH INVESTIGATIONS/ CERTIFICATIONS
2008,FX0,OCME,"Chief Medical Examiner, Office of the",% of positive toxicology examinations done within 60 days of case submission,Percentage,Output,Up is Better,Quarterly,95,,,,,N/A,No Data,Not Rated Insufficient Data,DEATH INVESTIGATIONS/ CERTIFICATIONS
2008,FX0,OCME,"Chief Medical Examiner, Office of the",% of positively identified bodies ready for release within 48 hours,Percentage,Output,Up is Better,Quarterly,95,,,,,N/A,No Data,Not Rated Insufficient Data,DEATH INVESTIGATIONS/ CERTIFICATIONS
2008,FX0,OCME,"Chief Medical Examiner, Office of the",% of primary contacts (case decision for jurisdiction) made within 8 hours of case assignment to investigator,Percentage,Output,Up is Better,Quarterly,90,,,,,N/A,No Data,Not Rated Insufficient Data,DEATH INVESTIGATIONS/ CERTIFICATIONS
2008,GM0,OPEFM,"ED Facilities Modernization, Office of Public",LSBE Participation on construction projects,Percentage,Output,Up is Better,Quarterly,50,,,,42.86,42.86,86%,Partially Achieved,
2008,GM0,OPEFM,"ED Facilities Modernization, Office of Public",Maintenance costs per square foot,Dollar Amount,Quality,Up is Better,Quarterly,1.66,0,0,0,1.66,1.66,100%,Fully Achieved,
2008,GM0,OPEFM,"ED Facilities Modernization, Office of Public","Number of projects under study, design and construction",Raw Number,Output,Up is Better,Quarterly,20,0,0,0,18,18,90%,Partially Achieved,
2008,GM0,OPEFM,"ED Facilities Modernization, Office of Public",Number of work orders cleared,Raw Number,Output,Up is Better,Quarterly,20000,0,0,0,16887,16887,84.44%,Partially Achieved,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
